name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating
EROS HOUSE Đà Lạt,https://www.facebook.com/profile.php?id=61567558749412,No description,59654805000,"Xuan Huong Lake, Cam Ranh International Airport, Hoàng hôn 3000",No class,"https://lh5.googleusercontent.com/p/AF1QipMteDcCpKA1Tu437xd2Bu66CbtOT3CF8_y9pV-G=s10000, https://lh5.googleusercontent.com/p/AF1QipMYp5JT3lEV0CNPLdlqM-jK5S756rDiBrLUuTj6=s10000, https://lh5.googleusercontent.com/p/AF1QipOpw20YJiqSJvV3On794iaRRlkEYUgW_Sd1VLr_=s10000, https://lh5.googleusercontent.com/p/AF1QipM3N9p6Asjd3oXjRcK5Pn2o_rMRR-5E_bOJzevC=s10000, https://lh5.googleusercontent.com/p/AF1QipNmMpy1oIPaqrpi4KidpW9MSldFpHCgMylO4qnh=s10000, https://lh5.googleusercontent.com/p/AF1QipNqg6LMrxudXV5Q7hXdHmXgYrO8xqkomEKq2ohX=s10000, https://lh5.googleusercontent.com/p/AF1QipPPx7OQ21vynAPEfble-v9HuiLhQdRMmRoFZj5J=s10000, https://lh5.googleusercontent.com/p/AF1QipPymhzdlnPNyQS0KnMVzW9D4J2lS0A4mwAs2qdh=s10000, https://lh5.googleusercontent.com/p/AF1QipMh8vZrhTqTpW4vWXbNcSzLa0EvuThO3jXM1s_i=s10000",2.5
Damb'ri Waterfall,http://dambri.com.vn/,Large waterfalls & scenic views in a remote natural area with walkways & a restaurant.,0,"Công Ty Cổ Phần Du Lịch Đamb'ri, Lien Khuong International Airport, Quán Nhậu Thanh Nga",No class,"https://lh5.googleusercontent.com/p/AF1QipOD3EoBPwP2jE34qjztNcp0xcUD_RNWwn6wS5sW=s10000, https://lh5.googleusercontent.com/p/AF1QipPbucgn8wFFlJvbfUlbexHfVjaTXGfp_Ql9ytyD=s10000, https://lh5.googleusercontent.com/p/AF1QipN5gTonGM1hiRyobdNc9YkV0GJiycNNfYta3keL=s10000, https://lh5.googleusercontent.com/p/AF1QipPz8u7X59uJAU6IxEIIK3MkF70AVP2HCvU17nlb=s10000, https://lh5.googleusercontent.com/p/AF1QipNstxpdbskCeRnLytvJcgjMI6zHeTKoq-6uqR0q=s10000, https://lh5.googleusercontent.com/p/AF1QipMrp0aJUbkF6QyynCT3IsRANK3dAuwcDfdmXwYj=s10000, https://lh5.googleusercontent.com/p/AF1QipNF-8nTLl7WNeibcn-Yv_Nypl37bDFwXNDloWYo=s10000, https://lh5.googleusercontent.com/p/AF1QipO6ZsMrml_92AJavSOzPncL9knVLBo5F_AT4s8w=s10000, https://lh5.googleusercontent.com/p/AF1QipO5favAMxG6r_HJSHGwpOvDhf09qTvqWejd9XBc=s10000",3.6
Nhà Bên Suối Homestay & Coffee (Lâm Đồng),https://www.booking.com/Share-sNIaVuB,No description,361149845000,"Thác Voi, Cam Ranh International Airport, Nhà hàng tiệc cưới SONG LONG",No class,"https://lh5.googleusercontent.com/p/AF1QipNR51W0tm386oEBK3U2f9T6920M_K8snsDsnIvB=s10000, https://lh5.googleusercontent.com/p/AF1QipPdG_eXW0bPB-LPdV-Qg2y3Rc8xg7Ce8Bi0l39S=s10000, https://lh5.googleusercontent.com/p/AF1QipOY0OAN6kh5tJ-Yw2D-yGMwdBgmbsFPXcJ1a2gW=s10000, https://lh5.googleusercontent.com/p/AF1QipPvZAF87Pq-UfnTBvmvVJZDcYF1WOogIT15Vk1j=s10000, https://lh5.googleusercontent.com/p/AF1QipMziq846j87W3SgKQdQnQX6-6sLANQg081Fpuyd=s10000, https://lh5.googleusercontent.com/p/AF1QipNOC6lUA3IWOSt0rFypIwXTPa47cmir1UicrOuB=s10000, https://lh5.googleusercontent.com/p/AF1QipMbmzx4-RU7nbpPB9qsBAjoVcyFMnVuALe-7rtS=s10000, https://lh5.googleusercontent.com/p/AF1QipMRBpOGiMUdFWy5D2vM0TtoHOXhM1Jb9ZLf3zCM=s10000, https://lh5.googleusercontent.com/p/AF1QipOy1haFsanUHhyVuj2P3pGBn6p4EeRnSprxkeQx=s10000",2.3
Four Points by Sheraton Lang Son,https://www.marriott.com/en-us/hotels/hanlp-four-points-lang-son/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"Elegant rooms & suites in an upmarket hotel with a restaurant, a bar & a spa, plus an indoor pool.",303320535000,"Chùa Thành Lạng Sơn, Van Don International Airport, Nhà hàng cơm niêu Singapore KOMBO - Tp. Lạng Sơn",5-star hotel,"https://photos.hotelbeds.com/giata/original/68/687399/687399a_hb_p_001.jpg, https://lh5.googleusercontent.com/p/AF1QipNHY3Ja_NhIDSrrY37AQHUhMMXSBFyIAgMUYih8=s10000, https://lh5.googleusercontent.com/p/AF1QipPlVZsZuGuCs8dzIH_7hzhxfw_YrNh16kb7K-Q3=s10000, https://lh5.googleusercontent.com/p/AF1QipPirN3bjOU1zD189F6TR-24CBdj6GPCNbCvG598=s10000, https://lh5.googleusercontent.com/p/AF1QipM29QFJ7Cg1dHU_F9A_FqKutOWSIxzq9-2E5X0z=s10000, https://photos.hotelbeds.com/giata/original/68/687399/687399a_hb_a_002.jpg, https://lh5.googleusercontent.com/p/AF1QipMd9L840gtGKW5dYtvxz26X-iUzrsxj1MMGp5YC=s10000, https://lh5.googleusercontent.com/p/AF1QipNamHpUif_UABS2IkOAtkS-LadLFGyk6zMDaL2m=s10000, https://lh5.googleusercontent.com/p/AF1QipPFyIAvnPrgYrgt7EJe1dNpmKLngVjHVZBq1A3g=s10000",4.7
Mường Thanh Hotel Lạng Sơn,http://luxurylangson.muongthanh.com/,"Relaxed hotel offering a spa, a gym & an outdoor pool, plus a buffet restaurant & karaoke.",211961260000,"Tam Thanh, Van Don International Airport, Nhà hàng Minh Quang",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipN4QrNlpEdGUsXgr37NJN3NsRmndiq9GjRu5Wkr=s10000, https://lh5.googleusercontent.com/p/AF1QipPGj1gpR_FO6TQAbonMAoyE_vIOMHlZOj-zmuxx=s10000, https://lh5.googleusercontent.com/p/AF1QipPf6Nu5XmEof3yVNcgm_M5cuSFjcg6IwtY3-yjC=s10000, https://images.trvl-media.com/lodging/9000000/8370000/8364200/8364179/3018011f_z.jpg, https://lh5.googleusercontent.com/p/AF1QipMDCiJd4ceIbei9ZSVN-1RMHxwRtOjg1TL5MJfg=s10000, https://images.trvl-media.com/lodging/9000000/8370000/8364200/8364179/83db7cac_z.jpg, https://images.trvl-media.com/lodging/9000000/8370000/8364200/8364179/a850eba8_z.jpg, https://images.trvl-media.com/lodging/9000000/8370000/8364200/8364179/4657000f_z.jpg, https://lh5.googleusercontent.com/p/AF1QipN5Lp1jTWn8nV5ekaW2iVijoQmIXz0hu6XP0qIt=s10000",4.4
SOJO HOTEL LANG SON,https://sojohotels.com/en,No description,197538845000,"Tam Thanh, Van Don International Airport, Vạn Tuế Xứ Lạng Restaurant",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipMoN27TZC4Bg8gyz8-iNpqH3zSJd4i-jgINxAFu=s10000, https://images.trvl-media.com/lodging/76000000/75850000/75844200/75844192/a048b18b_z.jpg, https://photos.hotelbeds.com/giata/original/91/914141/914141a_hb_ro_003.jpg, https://photos.hotelbeds.com/giata/original/91/914141/914141a_hb_l_010.jpg, https://photos.hotelbeds.com/giata/original/91/914141/914141a_hb_l_006.jpg, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/4a/89/3a/sojo-hotel-lang-son.jpg?w=1100&h=700&s=1, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/fd/b3/16/sojo-hotel-lang-son.jpg?w=2100&h=1400&s=1, https://photos.hotelbeds.com/giata/original/91/914141/914141a_hb_l_009.jpg, https://lh5.googleusercontent.com/p/AF1QipN99ZRAPGRVqfV60GDSsLJVrB4gf5VcXmm_am8J=s10000",3.3
Khách sạn New Century Hotel,No link,No description,74088000000,"Phố Kỳ Lừa, Van Don International Airport, Nhà hàng New Century",No class,"https://lh5.googleusercontent.com/p/AF1QipMYeB7r4pSnqotf-MFsjkSz8f3Ekw-Jg5lomx8A=s10000, https://lh5.googleusercontent.com/p/AF1QipMdc7Jx44ysdwfWKwQLhkz6sYl367xXNiUtpvd6=s10000, https://lh5.googleusercontent.com/p/AF1QipOTyYgg2H9FXU6gp4di9PnaXBKF9RIx4hTZTTNJ=s10000, https://lh5.googleusercontent.com/p/AF1QipPu-f3gD7PxI1TK-StNvDJkfxU4iO15ezp1vdzA=s10000, https://lh5.googleusercontent.com/p/AF1QipPTNRaDxKyzf1LHvFkDtz7DVt9PXOLp7t5o5qV1=s10000, https://lh5.googleusercontent.com/p/AF1QipOxOMw1shduv3MMnyJHv3ScXIJfFNTjnNXnxqdB=s10000, https://lh5.googleusercontent.com/p/AF1QipMjzQWt1EjgrDbGMZ2wPNR3oSgmh8Na53tOhFYT=s10000, https://lh5.googleusercontent.com/p/AF1QipOLdvCDgWqyUwopKNpZ6jYDskS2DAplrJcbSbgb=s10000, https://lh5.googleusercontent.com/p/AF1QipPEaGNsMnyGnB4orXqCCoF9--RMDttxinONjTdN=s10000",4.6
Khách Sạn Imperial Lạng Sơn,No link,No description,218070090000,"Tam Thanh, Van Don International Airport, Nhà Hàng Thủy Quán",No class,"https://images.trvl-media.com/lodging/112000000/111290000/111284800/111284720/w1936h1296x0y16-3fd07118_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOXslzrBZ97OMGfOLuJAnniX30Bq-lj48-jy3jx=s10000, https://images.trvl-media.com/lodging/112000000/111290000/111284800/111284720/f94bdcca_edited_5d83_z.jpg, https://lh5.googleusercontent.com/p/AF1QipP22-XknwX42-JEpprObzup15v5rSqJw9JWOkLK=s10000, https://images.trvl-media.com/lodging/112000000/111290000/111284800/111284720/45621993_z.jpg, https://images.trvl-media.com/lodging/112000000/111290000/111284800/111284720/d8bca41f_z.jpg, https://images.trvl-media.com/lodging/112000000/111290000/111284800/111284720/w1901h1323x0y1-acfcc625_z.jpg, https://images.trvl-media.com/lodging/112000000/111290000/111284800/111284720/8d767915_z.jpg, https://images.trvl-media.com/lodging/112000000/111290000/111284800/111284720/9456f089_z.jpg",4.6
BBQ HOTEL & HOSTEL LẠNG SƠN (with Swimming Pool),https://www.facebook.com/profile.php?id=61566921651024,No description,171456390000,"Lang Son Province Tourism Center, Van Don International Airport, Vạn Tuế Xứ Lạng Restaurant",No class,"https://lh5.googleusercontent.com/p/AF1QipMepbtCMd6HMvkjl1X0VHL8UXDe28YZaAxsGj1s=s10000, https://images.trvl-media.com/lodging/112000000/111450000/111447500/111447452/42796498_z.jpg, https://lh5.googleusercontent.com/p/AF1QipMayH74JPgpglaW9PodomRdvzZZCbmOlnwFwbu4=s10000, https://lh5.googleusercontent.com/p/AF1QipNgFlXqyBxKczDOuNbsTtRmCZgxWQlpS450dLA1=s10000, https://lh5.googleusercontent.com/p/AF1QipPdTta4clGX9HiWH6M8O_6HO9soUjB-pkK7Dyao=s10000, https://images.trvl-media.com/lodging/112000000/111450000/111447500/111447452/254800da_z.jpg, https://lh5.googleusercontent.com/p/AF1QipM2EFDxNI7BTQlBZpv2aBlx7X_4ex7MiFVK31Af=s10000, https://lh5.googleusercontent.com/p/AF1QipOTuzk5nPBN2FBIiferOFDWdZCGzzAGm3k3EkI=s10000, https://images.trvl-media.com/lodging/112000000/111450000/111447500/111447452/c212d4f9_z.jpg",2.9
Nhat Minh Hotel,No link,No description,171518620000,"Tam Thanh, Van Don International Airport, Nhà hàng Sen",No class,"https://lh5.googleusercontent.com/p/AF1QipN2QELvTbMwteCXbUJKkDVSKJ3Lmi166gN1203F=s10000, https://lh5.googleusercontent.com/p/AF1QipOIxyTkKXnDsOPgVyl_ns8jmJU7j7co2UJw6lT1=s10000, https://lh5.googleusercontent.com/p/AF1QipOiFN1xKRqmQ3G6s8vYVcmPIMGtrdGjs3nbcxaG=s10000, https://lh5.googleusercontent.com/p/AF1QipNeulG6m2qa04N6TRXWzwcmZWj3htqXLfj1QDgy=s10000, https://lh5.googleusercontent.com/p/AF1QipMMugsOYV021rPVimVflGTaYD61W2D1TYA6vZSv=s10000, https://lh5.googleusercontent.com/p/AF1QipO5UvNUuBLr3SAiivBS-2JRRctvv6IlM7GYsueh=s10000, https://lh5.googleusercontent.com/p/AF1QipP91hAEzNf75G2KvGEVCB-BNG5dGyRYfYCEESDc=s10000, https://lh5.googleusercontent.com/p/AF1QipOlCvalyT7XWnveOjboMZWJPyTpTf1Dreg2sXc6=s10000, https://lh5.googleusercontent.com/p/AF1QipP9u0JirUxAb1W053kuHl0MM2Xhf8egcAbhxihn=s10000",4.5
Camellia home,https://www.facebook.com/profile.php?id=100089137929640,No description,0,"Kỳ Cùng Bridge, Van Don International Airport, Nhà Hàng Nhất Chiêu",No class,"https://lh5.googleusercontent.com/p/AF1QipOpYsXaqudMXNRIDOK-iCysxWpO93fv-I4ImatV=s10000, https://lh5.googleusercontent.com/p/AF1QipMjy_B432JbjL1wdqP0Ifi43-Kx8kNuwlz0STXz=s10000, https://lh5.googleusercontent.com/p/AF1QipNZxdM4bNi-RrePm4rkBaZkUX3eJ1jrnYk6ZJZ3=s10000, https://lh5.googleusercontent.com/p/AF1QipNrHAHccTvR8PxbGtD2dyxILwO3k43Zthtfxnbu=s10000, https://lh5.googleusercontent.com/p/AF1QipPoer6n4HHwNzTX-EO7Q9EN4jTiRbu5G8FzQcI1=s10000, https://lh5.googleusercontent.com/p/AF1QipNvfYyxYjlL2RJGFMGNr3-X67KLkXtPR3BZcz_m=s10000, https://lh5.googleusercontent.com/p/AF1QipO2jBMHSaJsZI1QlY0ltgf5fYjloW9xg9J3BFV7=s10000, https://lh5.googleusercontent.com/p/AF1QipOAw4dw8knCub8ouW8aSc_-hqm5uQ2BU1t_E0AQ=s10000, https://lh5.googleusercontent.com/p/AF1QipOQi7Mfr5drKSFqG43Gwh6sMnUZabXbCTPPCf2A=s10000",4.6
HOTEL MIAMOR,No link,No description,215600000000,"Chợ Đông Kinh, Van Don International Airport, Nhà hàng 111",No class,"https://lh5.googleusercontent.com/p/AF1QipNzF2I9F7C5xJBJLIc1ZP3sNfxD3TcIMBYGD_nl=s10000, https://lh5.googleusercontent.com/p/AF1QipPMOcSsWlDb0y8AWlLtzzXJe6jSlxCtxYOhKroG=s10000, https://lh5.googleusercontent.com/p/AF1QipP4xDU2oYM9oMco367pg53I0LIhbgAl6OsKVwuQ=s10000, https://lh5.googleusercontent.com/p/AF1QipPpEV8v2kRJSPF6R00AS6KXYhuayGRCXJi5GeJJ=s10000, https://lh5.googleusercontent.com/p/AF1QipP0KdBgcIfDsBpaG9tl7qVjvnIe6UXDvZTBeApk=s10000, https://lh5.googleusercontent.com/p/AF1QipPp5Kw6SJQm-fImzlrjWwQd2u3P20mFNvZ09yan=s10000, https://lh5.googleusercontent.com/p/AF1QipOvZJ4kybn1WYH7ppnxdDmKtDP7MTAdAExuR3nL=s10000, https://lh5.googleusercontent.com/p/AF1QipMqBySXbPqjitPnEiulI8cZOkLAvXYOwJ7wnnve=s10000, https://lh5.googleusercontent.com/p/AF1QipNoTEpMhDlqiIOVCdrjd1nhMdHhW9Gdf0nj1Pph=s10000",4.4
Happy Home,https://www.facebook.com/profile.php?id=61561108423740&locale=vi_VN,No description,0,"Lang Son Province Tourism Center, Van Don International Airport, Vạn Tuế Xứ Lạng Restaurant",No class,"https://lh5.googleusercontent.com/p/AF1QipPMOMTLQi_Xc5uSxlBMBa8a3Lk2kLCjuB56OiVs=s10000, https://lh5.googleusercontent.com/p/AF1QipNe2mjJDPzyF3hyKLkK2ntUvwPAYb2C77lMjtoJ=s10000, https://lh5.googleusercontent.com/p/AF1QipOboKMAOoKxDJz7R9mqJY07S1jwmsdQUJW0eh1W=s10000, https://lh5.googleusercontent.com/p/AF1QipNTHXytkn65C6fde2jYB82NyWHWmmpJwFistJu_=s10000, https://lh5.googleusercontent.com/p/AF1QipO7vdBr1sKviI9B-AxlWQ-NSor1FvkN44dD1eM0=s10000, https://lh5.googleusercontent.com/p/AF1QipPJRynkwatzxo9g4rfRjuWtr0LniCbrqPlzeAv5=s10000, https://lh5.googleusercontent.com/p/AF1QipMGXp3dGlMqqQyasyw5mJMNRwAu2zU-OTP6OmlA=s10000, https://lh5.googleusercontent.com/p/AF1QipPXqN4O1A51duyM9fyCc8GmpUuSLAShqJI94rBf=s10000, https://lh5.googleusercontent.com/p/AF1QipO4meHRT4CtLvoTaaKpgfWhyfJPJ25CkcsuFf4i=s10000",3.1
LONG VŨ HOTEL,https://m.facebook.com/LONG-V%C5%A8-HOTEL-102928158883328/,No description,158919985000,"Tam Thanh, Van Don International Airport, Ngon Rose Garden",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipPfGZ48T7VmNsj1B2HgMUGZybknO6qxKe5yiXex=s10000, https://lh5.googleusercontent.com/p/AF1QipMaCl3YYH4L1q0b0ZhSelmWdaYJKdIXt8fqWI-6=s10000, https://lh5.googleusercontent.com/p/AF1QipPSMK7EVRpmagT451bQA8yh5IZKr_TDT_kOWH6w=s10000, https://lh5.googleusercontent.com/p/AF1QipO7zlVueia5zxQs8XZ-LpF4iFlQ2UjYeynGcoR3=s10000, https://lh5.googleusercontent.com/p/AF1QipNeeb_yv-YOKs4CEbH0pTWw6pDjh0KCM2p1ocZf=s10000, https://lh5.googleusercontent.com/p/AF1QipOE-EMOFwTIntFFiQyMTWrB460XYOBJ0YwfITRR=s10000, https://lh5.googleusercontent.com/p/AF1QipPNzynmXrJeVp5Q0LyPDEaTq4xr84BcTxJyEZe3=s10000, https://lh5.googleusercontent.com/p/AF1QipNtZsC4qEmSfdiYDpUN709WoACjwbJ-lkWwZkct=s10000, https://lh5.googleusercontent.com/p/AF1QipMWwR7wLqCctXwdLZsj9zUijbbBTQT4cV6kWEr6=s10000",4.5
Khách Sạn Triệu Ký Vòong,No link,No description,75215735000,"Tam Thanh, Van Don International Airport, Ngon Rose Garden",2-star hotel,"https://lh5.googleusercontent.com/p/AF1QipOU3DB713ZdWBEo3MKCgpTTXZMyOtpoU7F5eOX-=s10000, https://lh5.googleusercontent.com/p/AF1QipPf1BKTjZuG9TJ0TsJUO7rSZtSI5PhrVIAT2mPb=s10000, https://cdn.worldota.net/t/1024x768/content/7e/10/7e100e34633834271bb67280235ae38366f19ad4.JPEG, https://lh5.googleusercontent.com/p/AF1QipPAwpeKuzxp3MfU3TA2p2awR917XFNVgcrBx_j7=s10000, https://cdn.worldota.net/t/1024x768/content/e5/75/e5756ec6a38faed9f9b9d624863cb3fd3e80254f.JPEG, https://lh5.googleusercontent.com/p/AF1QipME0cBlaBReOIWScA_raSQ-BMBi1dUaLBY106wq=s10000, https://lh5.googleusercontent.com/p/AF1QipPvFu8p0PjnxarYv5qLBXYbP-0sGCMC5d1v_cZ5=s10000, https://lh5.googleusercontent.com/p/AF1QipNXMItJ-XVPL4Jdd8QMjqSLdSMitNIF_hmxlBxa=s10000, https://lh5.googleusercontent.com/p/AF1QipNCKGBrsktVpHNh8wGk_hIqF5nxQqvzMIolucCl=s10000",4.5
ANH TÚ HOTEL,https://www.facebook.com/anhtuhotells?mibextid=LQQJ4d,No description,132300000000,"Tam Thanh, Van Don International Airport, Ngon Rose Garden",No class,"https://lh5.googleusercontent.com/p/AF1QipO2Nx8mrdqAreNBfw3zoi0qHfKrcxr9a_q1c-c=s10000, https://lh5.googleusercontent.com/p/AF1QipMolke_0Z8jvLvGQOHOfWlT8xT5u1Qt9rO-mq62=s10000, https://lh5.googleusercontent.com/p/AF1QipNpMcfKmkzqVgg3E9Oi44-ZTZQW3IdCutylf6Cq=s10000, https://lh5.googleusercontent.com/p/AF1QipMwnDmRdKsLcTX-102Ipik3WoSjEhk_YhFHvLyT=s10000, https://lh5.googleusercontent.com/p/AF1QipPfXl64Q34PLbviK7msNW0r5qF8HGUaY97rvyoh=s10000, https://lh5.googleusercontent.com/p/AF1QipN4aax6esVRGETJ47e8kj3FL6FUKW1QwlvqZ4j0=s10000, https://lh5.googleusercontent.com/p/AF1QipP_paHSJmdcL_7g2SubzPcCeQ83zNjS_iTnqqLs=s10000, https://lh5.googleusercontent.com/p/AF1QipN3wDAh4I4UBEAQtDnPm3pg7QydvLFtgDSy0_0=s10000, https://lh5.googleusercontent.com/p/AF1QipPLJhmvK-ryvXdnbH-lqJkPi311D5erq3MjLVhf=s10000",4.6
Khách sạn Whitehotel,https://whitehotellangson.vn/,No description,134750000000,"Phố Kỳ Lừa, Van Don International Airport, Nhà Hàng Green Lạng Sơn",No class,"https://lh5.googleusercontent.com/p/AF1QipP5DAjN-ZYcPgCN6-T23m_JkKLD4DEKkx18qQfO=s10000, https://lh5.googleusercontent.com/p/AF1QipNcOI6UzURcsQcFXRe5Net-suywkNcAGalqdDv9=s10000, https://lh5.googleusercontent.com/p/AF1QipNCjSIn6mtE2Mf9vvR179VJz4xH_C3YmUrd9XfF=s10000, https://lh5.googleusercontent.com/p/AF1QipMaa9uNnB1I4fIIwPFVu4Six5duGSuac0TRTX9C=s10000, https://lh5.googleusercontent.com/p/AF1QipPSRPtkrWQJjBfvn7ZmwuLqksQBNKbzZczW7aTt=s10000, https://lh5.googleusercontent.com/p/AF1QipPe2VwMQqmwmZl_bKDMDYf67alO5RXzx6eLZYeQ=s10000, https://lh5.googleusercontent.com/p/AF1QipMPev27kvcqhmkLhpGMgeCUjTiz5t-5cxxdBmJP=s10000, https://lh5.googleusercontent.com/p/AF1QipN4B5f8QHdtsEh_9Z2OCCeaL9ywweBxQr1T4e4F=s10000, https://lh5.googleusercontent.com/p/AF1QipOa07A0sOuP3JMkPM6kGXSeqP-KIIdfG9bSNlMr=s10000",4.6
Khách sạn An Khang,No link,No description,108616095000,"Tam Thanh, Van Don International Airport, Nhà hàng Hương Sen",No class,"https://cdn.worldota.net/t/1024x768/content/13/6c/136c73bb241502c5664c261a4ac7eccb00f0f8e1.jpeg, https://lh5.googleusercontent.com/p/AF1QipOBAFy-f7bT2ZURqL6kQuBKn_KLJyvnSDR4-56k=s10000, https://lh5.googleusercontent.com/p/AF1QipP31EVPfIJyYIP9-YUyBt2Fg_S_x70IQogGZJjE=s10000, https://lh5.googleusercontent.com/p/AF1QipMWTkEEn0NI7Uz--xLKzSi3wJi9_ea_rJR02upl=s10000, https://lh5.googleusercontent.com/p/AF1QipOcRFTsjqGbRCK_9mn05U8REuWlYldIndvvL7bR=s10000, https://lh5.googleusercontent.com/p/AF1QipMlOz2JYzr-e2_Hk9znWOQjZ-fkchfP9sTPI5bj=s10000, https://cdn.worldota.net/t/1024x768/content/63/59/63597b5754133bfc6ec0beddb1d05923605a9601.jpeg, https://cdn.worldota.net/t/1024x768/content/f5/9e/f59edda7b24287ef8511f6e4add6459dedba56f5.jpeg, https://cdn.worldota.net/t/1024x768/content/85/29/852916a4c89800a26e3690bf38a78128c1b0a8b1.JPEG",3.7
Khách Sạn ĐÔNG Phương,https://www.facebook.com/profile.php?id=100009315314261,No description,85743875000,"Chợ Đông Kinh, Van Don International Airport, Nhà Hàng Tây Bắc",No class,"https://lh5.googleusercontent.com/p/AF1QipOYF-zYPUT-HXdHCHqY1NcsyC3onFx7SIz--RI=s10000, https://lh5.googleusercontent.com/p/AF1QipMeSflF4pEYDvAdLiLFLJ_zf2Y3fo3p3RyzotE2=s10000, https://lh5.googleusercontent.com/p/AF1QipP9I9Nq0WzlXw9swcrjyCwfi1Z0kYEV5K-rtAfm=s10000, https://lh5.googleusercontent.com/p/AF1QipN41puJvLVt-7QXWUGKdPbLS23W-6D1T5HN5gNy=s10000, https://lh5.googleusercontent.com/p/AF1QipNATw2h-3t1gbHhjFjLh8mNUGOUVCRkL8cM-yvO=s10000, https://lh5.googleusercontent.com/p/AF1QipN-0n6zLao0m2FdjtNHSgKaNDz70BICvWo-vb0t=s10000, https://lh5.googleusercontent.com/p/AF1QipMh5m7Hwjm71jvSSn9FwBrwdFh-WRmkqXfjMjcx=s10000, https://lh5.googleusercontent.com/p/AF1QipM58L_JQ-Gxp1eM088-HwcxNd6yNeWiMpay476N=s10000, https://lh5.googleusercontent.com/p/AF1QipMSoJyv-pqmDPzGobvDdCIH1GYYQXKeiUE1H6TN=s10000",4.5
Khách sạn BALA HOTEL,No link,No description,0,"Tam Thanh, Van Don International Airport, Phở Lộc Bình",No class,"https://lh5.googleusercontent.com/p/AF1QipOHZX7LOjRgeguf8Ez3bfR5HX3ajbAHH6nH42EI=s10000, https://lh5.googleusercontent.com/p/AF1QipNu5eu9nHuEZsZ49IBoMpY4VqAybeXU07amra7j=s10000, https://lh5.googleusercontent.com/p/AF1QipOrhP92eKsFIEzzpX4W1BI_ZJZnhMOhS_AnpZhJ=s10000, https://lh5.googleusercontent.com/p/AF1QipOagIxL2VZRUiKxejScwtBpuHwMMv5Zycavx0Ei=s10000, https://lh5.googleusercontent.com/p/AF1QipOFdkLqsbd-WTP8PDMv8dhIm0eC81VI8ssbX5SR=s10000, https://lh5.googleusercontent.com/p/AF1QipPx2r-oij5YLzBajTHxUFt9kPPWb_-u2bvE1ObB=s10000, https://lh5.googleusercontent.com/p/AF1QipPh9mYMAYLv9NSXtSZdOBJvEZ-FUAs5QHxnLw1B=s10000, https://lh5.googleusercontent.com/p/AF1QipN3f7ivCjO93dMG49_QhzZJw130CgNJYxFljhqm=s10000, https://lh5.googleusercontent.com/p/AF1QipNKUrivFpy92A3gPz4tXvm3IqXQGQpnCa4KAO-r=s10000",3.0
Hava Homestay,No link,No description,48963740000,"Chợ Đông Kinh, Van Don International Airport, Thảo Viên Restaurant Lạng Sơn",No class,"https://lh5.googleusercontent.com/p/AF1QipPcxbKsVdI8G3RYLJ0scq3egDX5SZ4IuoXOUS2e=s10000, https://lh5.googleusercontent.com/p/AF1QipPio7rztcziNqtngTnM0HlPoouKR-9mIEnrkcbX=s10000, https://lh5.googleusercontent.com/p/AF1QipM04ielLer4D7Nyj_l8-PX47d5W1T8tx8ypTuQl=s10000, https://lh5.googleusercontent.com/p/AF1QipNwFEWBWiEt_2GcCZKyjCfRlGC9pqn9LNzM6Kmr=s10000, https://lh5.googleusercontent.com/p/AF1QipPyy0ntcBOcgko8FCX2rc6jtcQNR5dc79R-GQck=s10000, https://lh5.googleusercontent.com/p/AF1QipPonM2wkZn1ir33-bIJjaKZ4QRZa-RHM0HNxRB-=s10000, https://lh5.googleusercontent.com/p/AF1QipMNbEE-9LLd1T_UiXiwbWzljgpcJdVCLWKWU3-v=s10000, https://lh5.googleusercontent.com/p/AF1QipPScPAjfW6gcGObVlZDP5nJRzxwOB4-zO1xAn-1=s10000, https://lh5.googleusercontent.com/p/AF1QipPAftVHGArlreSS_8I9S6EXZIklQ2j2TblEK8Yx=s10000",4.2
